name,name_zh
Seoul,首尔
Busan,釜山
Daegu,大邱
Incheon,仁川
Gwangju,光州
Daejeon,大田
Ulsan,蔚山
Sejong,世宗
Gyeonggi,京畿道
Gangwon,江原道
North Chungcheong,忠清北道
South Chungcheong,忠清南道
North Jeolla,全罗北道
South Jeolla,全罗南道
North Gyeongsang,庆尚北道
South Gyeongsang,庆尚南道
Jeju,济州
